x,y
-2.4158897,-2.7983046
-0.8928753,-3.6820138
-0.91099584,-3.496533
-1.1230463,-4.8722425
-1.1203823,-5.9065847
-1.2249861,-6.5138493
-1.273859,-6.654353
-6.31163,-12.056681
-6.394645,-11.962357
-6.56296,-12.18821
-7.487949,-13.094732
-7.741305,-13.324575
-8.220078,-13.700555
-8.651536,-14.051058
-9.155519,-14.334880
-10.321832,-14.960046
-11.269076,-15.685749
-11.867812,-15.607562
-11.777815,-16.034586
-12.508362,-16.372185
-13.118586,-17.078314
-13.177705,-16.769365
-13.933341,-18.075430
-14.505376,-18.605795
-14.988849,-18.481361
-13.905501,-18.604658
-14.375815,-19.262661
-14.915444,-19.394272
-15.450262,-19.152699
-15.651246,-18.755516
-15.954854,-18.226974
-15.426117,-18.015741
-14.745256,-17.685862
-15.306325,-17.070496
-14.543359,-16.905941
-14.915668,-16.508684
-15.504926,-16.051201
-14.667118,-15.984053
-14.171301,-15.805316
-14.994072,-15.377768
-14.793108,-15.044886
-14.148613,-14.932898
-14.463675,-14.246902
-13.593943,-14.210287
-13.927382,-13.767822
-14.189682,-13.332591
-13.354875,-13.432018
-13.380189,-12.952044
-13.842522,-12.529053
-13.030971,-12.412672
-13.440687,-11.891612
-12.838018,-11.624890
-12.745445,-11.072470
-12.600166,-10.496380
-12.049788,-10.510724
-12.208184,-9.896413
-11.571400,-9.772498
-6.7771225,-12.437454
-7.0502834,-12.650065
-11.707402,-9.243401
-11.342088,-8.973769
-10.873855,-8.996435
-11.122816,-8.466734
-10.587172,-8.426067
-10.449595,-8.003421
-10.088894,-7.7130384
-9.727122,-7.3021617
-9.395407,-6.9952903
-9.038019,-6.620288
-8.535947,-6.196819
-8.108557,-5.8659835
-7.6746006,-5.5056458
-7.446015,-5.395631
-7.157009,-5.169802
-6.9064493,-4.92743
-6.8322363,-4.7028556
-6.0367694,-4.4848404
-5.4342737,-4.024319
-5.009471,-4.1297793
-4.6297884,-3.9631252
-4.542642,-3.2322867
-4.266127,-3.1754215
-2.834302,-3.6236837
-3.2440739,-3.835778
-3.2895253,-3.3681207
-4.078487,-2.5655613
-4.0192566,-2.1079392
-6.450979,6.8392973
-4.1146665,-0.76673615
-3.836286,-0.24402577
-3.4806144,-0.08322401
-4.139301,0.017647354
-3.2455845,-0.48470026
-4.611778,1.5203165
-4.3229218,1.8087636
-5.7296715,3.8362617
-3.789198,2.1726246
-5.629817,3.2923026
-5.4937253,3.572838
-0.35246918,1.2696375
-1.200962,3.3576167
-0.9369997,3.1224997
-2.0358596,4.0315213
-0.7646732,3.6088674
-2.9120936,4.840743
-5.379788,4.749544
-3.097685,5.525741
-2.1304862,6.080852
-0.43896973,6.8624797
-2.4856813,6.7898064
-4.3514466,6.1051035
3.5784714,7.125283
1.9384003,10.601338
6.0206985,11.474842
11.801894,13.390142
8.785416,12.399316
9.128009,11.504153
10.583976,12.94702
9.573357,11.131863
12.155335,14.225877
12.605011,14.001158
12.728368,13.098098
11.984089,13.01256
13.626303,14.043778
13.121605,13.576416
10.088107,7.966906
10.068994,10.775821
13.93588,12.705869
12.530221,11.6247225
14.554376,12.803189
11.585426,10.479383
14.518087,12.144364
11.05285,6.2000427
12.535926,10.794355
15.080765,12.1344595
13.942451,11.632859
13.090987,10.193315
14.864059,11.313137
14.712865,10.187784
12.899548,9.964024
12.468291,10.142159
13.86364,10.720878
14.056687,8.498847
14.397269,9.661194
14.363151,8.561757
5.8038635,0.5581032
6.1107235,0.8778118
6.341545,1.701093
6.2054152,1.2500205
6.275402,3.8820395
7.267758,2.6344914
6.874489,3.667329
8.151084,3.411273
9.716631,4.786841
7.2379093,4.2964363
10.081587,6.1868854
8.954043,4.2523484
9.872105,6.9483876
8.719624,4.885914
9.087194,5.731372
9.584854,7.770933
8.340554,5.404378
10.864419,12.036209
11.613431,12.382386
9.816674,11.868734
11.208972,11.7295685
10.128225,9.503429
13.75763,13.233436
9.649257,10.311167
4.6174083,10.487843
-0.24886703,8.294021
4.802274,11.164265
11.044825,10.770765
10.886436,9.743733
7.6052046,10.054485
2.7548485,10.432507
5.136985,10.664584
2.6759648,10.770185
5.578301,9.738704
5.0467625,6.413566
5.7227116,7.8077564
4.4452357,6.4578896
5.0793185,9.35777
3.939042,8.173045
6.420875,4.6372733
5.794559,4.9530416
6.029398,2.9529114
4.2328115,1.0121897
4.2221365,0.019872468
4.0571313,-0.40544465
2.6456285,-2.1030273
2.4469426,-2.2205887
2.021007,-2.4899182
2.1726592,0.5035831
2.7592149,0.3849424
2.654931,0.817233
1.7133536,1.0436218
1.2640903,1.5010632
2.3385277,1.145065
0.48256737,1.3544552
-0.6980616,1.7056556
-2.5347364,2.7475975
-2.6417615,1.7110983
-2.3161147,1.6373942
-3.4633787,3.0848846
-3.3979335,3.2620714
-4.040856,3.241983
-3.533926,3.7584171
-3.3765342,4.0946655
0.15690733,2.7088199
-1.0245742,4.60497
-1.54366,4.9840097
-3.459225,5.5334563
-1.5496836,5.558687
-3.4266205,6.195662
-1.284995,6.69036
1.7059337,7.2029867
0.6833176,7.786414
-1.9861006,7.5758667
1.6831325,9.345494
-0.76725435,8.190088
0.9057606,8.82254
2.6552298,9.238016
4.1669216,7.4519644
1.8259611,8.90553
2.9926176,9.62245
6.049059,9.134096
7.0212355,5.0790205
4.4719186,9.465502
5.778244,9.753727
5.6457787,8.834034
6.855564,9.440096
11.729252,10.707449
11.330111,9.479606
5.20071,8.131504
12.339685,9.552163
7.642966,9.322285
6.5226507,9.689199
